Abuse people's confidences.,H1131
Cannot seem to deal with stress at work/school.,T739
Cannot stop thinking about all of my mistakes.,T740
Cannot wait to get started on a project.,V252
Can't afford to buy things I need.,Q122
Can't be bothered with other's needs.,X237
Can't come up with new ideas.,H1380
Can't concentrate.,H936
Can't control my impulses when I'm really stressed.,T726
Can't do without the company of others.,H965
Can't find the right words for my feelings.,A111
Can't hear for awhile (as if I am deaf).,A104
Can't help but look upset when something bad happens.,A14
Can't help noticing whether something I read is grammatically correct,M23
Can't hold onto money for long.,P440
Can't keep to the subject.,H1078
Can't make up my mind.,H901
Can't put my ideas into practice.,H1466
Can't remember the last time I smiled.,T730
Can't remember the last time I thought about sex.,T731
Can't resist eating candy or cookies if they are around.,V59
Can't say no.,H1035
Can't see for awhile (as if I am blind).,A93
Can't sleep for nights on end but remain active during the daytime.,A50
"Can't speak (or only with great effort), or can only whisper.",A38
Can't stand aggressive people.,E5
Can't stand being alone.,H985
Can't stand being contradicted.,H292
Can't stand being late.,P470
Can't stand confrontations.,X206
Can't stand impolite people.,E107
Can't stand nosey people.,E41
Can't stand on my own.,H973
Can't stand pushy people.,E142
Can't stand quarrels.,H547
Can't stand rude people.,E62
Can't stand waiting.,H757
Can't stand weak people.,E78
"Can't swallow, or only with a great effort.",A62
Can't think clearly when under pressure.,T733
Care about justice.,H176
Care about others.,Q128
Carry around something that gives me good luck.,T745
Carry out my plans.,H258
Carry the conversation to a higher level.,H1227
Catch on to things quickly.,X275
Cause accidents.,H1414
Challenge others' points of view.,H577
Change my mind.,H860
Change my mood a lot.,H926
Change myself to suit others.,E147
Chatter away aimlessly.,H538
Cheat on people who have trusted me.,Q22
Cheat to get ahead.,X198
Cheated my way through school.,T753
Check on things more often than necessary.,R79
Check over my work.,H232
Cheer loudly at sporting events.,E48
Cheer people up.,H1151
Cherish mementos.,E152
Choose my words with care.,H673
Choose the easy way.,H833
Claim to be able to do everything.,H751
Collect things that I don't need.,R14
Collect things that no one else wants.,V136
Come straight to the point.,H2008
Come up with a solution right away.,H393
Come up with alternatives.,H479
Come up with bold plans.,H447
Come up with excuses to avoid meeting new people.,T761
Come up with good solutions.,H2009
Come up with new ways to do things.,V155
Come up with something new.,H1230
Come up with unworkable plans.,H1468
Comment loudly about others.,H1429
Complete my duties as soon as possible.,Q163
Complete tasks successfully.,H1285
Conform to others' opinions.,H1056
Confuse fantasies with real memories.,A82
Consider my behavior to be pretty average.,T767
Consider my motives before acting.,E2
Consider myself a disabled person.,Q149
Consider myself an average person.,X125
Consider myself good-looking.,Q162
Consider myself old.,Q63
Consider myself to be a wise person.,V288
Consider others' advice.,H1275
Consider others' opinions.,H1342
Consult the library or the Internet immediately if I want to know something.,V256
Continue until everything is perfect.,H286
Contradict others.,H808
Control others by my anger.,V176
Cope poorly with stress.,T780
Copy others.,H1041
Could be a success in many fields.,R57
Could easily live without having sex.,T784
Could go months without a thought of sex crossing my mind,T785
Could never imagine hurting another person.,T786
"Could never stop loving my family and close friends, no matter what they did.",V166
Could not get going.,N20
Could stare at a painting or picture for hours.,T788
Count on others too much.,H886
Counter others' arguments.,H1360
Crave romantic touch.,T790
Crave the attention I get after hurting myself.,T791
Crave the experience of great art.,V316
Create problems for others.,H2010
Create something of value out of nothing.,H1236
Criticize others' shortcomings.,H279
Cry during movies.,H2011
Cry easily.,H2012
Cut conversations short.,H1081
Cut others to pieces.,H422
Dare to say anything.,H450
Deal efficiently with practical matters.,Q227
Deal with anger by acting out.,T798
Deceive people.,H1096
Decide things for others.,H775
Decide things on my own.,H411
Defend my own beliefs.,Q148
Demand a lot from others.,H280
Demand attention.,H525
Demand explanations from others.,H285
Demand obedience.,"H779, X66"
Demand perfection in myself.,T806
Demand perfection in others.,H290
Demand quality.,H288
Demand the impossible of others.,H810
Demand to be the center of interest.,H769
Deny others their turn.,H772
Depend on science to explain 'miracles.',P424
Describe lots of irrelevant details when telling a story.,T812
Deserve more than I am getting.,T815
Deserve special treatment from others.,T816
Deserve the very best of everything.,V205
Deserve to be admired.,T818
Detect mistakes.,H1293
Detest working.,H816
"Did not feel like eating, even though I should have been hungry.  (New item)",N03
Disapprove of gift giving because it encourages weakness.,V101
Disclose my intimate thoughts.,H2013
Discuss my health problems with my family and friends.,C22
Dislike being around happy people when I'm feeling sad.,A2
Dislike being complimented.,P410
Dislike being the center of attention.,X169
Dislike changes.,"H1063, X43"
Dislike children's birthday parties.,A42
Dislike competing with others.,X108
Dislike having authority over others.,P341
Dislike having to do more than one task at a time.,X208
Dislike imperfect work.,H271
Dislike incompetence.,X96
Dislike learning.,H1401
Dislike looking at my body.,P414
Dislike looking at myself in the mirror.,P349
Dislike loud music.,X215
Dislike movies with happy Hollywood endings.,X256
Dislike myself.,X15
Dislike neighbors living too close.,E131
Dislike neon signs and florescent colors.,X172
Dislike new foods.,E36
Dislike routine.,X122
Dislike smells that I usually like.,A31
Dislike surprises.,X221
Dislike taking responsibility for making decisions.,P359
Dislike talking about myself.,X212
Dislike tastes that I usually like.,A34
Dislike the unknown.,H1458
Dislike when my friends spend too much time with other friends.,T843
Dislike work.,Q48
Dislike works of fiction.,X230
Disliked math in school.,X117
Disregard rules.,H88
Disregard the opinions of others.,H426
Distrust people.,"H1195, X12"
Distrust the medical profession to handle my health.,T848
Do a lot in my spare time.,H79
Do a lot of things just to avoid getting sick.,C3
Do as I am told.,H1062
Do crazy things.,H870
Do dangerous things.,H876
Do everything I say I will do.,Q44
Do favors for others only so I can ask for something for myself later.,T854
Do improper things.,H897
Do just enough work to get by.,X115
Do many things with ease.,H1320
Do more than what's expected of me.,H2014
Do most of the talking.,H4
Do my best to avoid arguments.,A39
Do my tasks only just before they need to be done.,V275
Do not believe humans are truly capable of love.,T862
Do not believe in a universal power or a God.,V282
Do not care how my actions affect others.,T864
Do not easily share my feelings with others.,V13
Do not enjoy going to art museums.,X235
Do not enjoy kissing.,T867
Do not enjoy watching dance performances.,X243
Do not exercise on a regular basis.,V9
Do not feel close to people.,T868
Do not give anyone a second chance to hurt me.,V297
Do not give up easily.,W154
Do not go out of my way to make others smile or laugh.,V285
Do not have a good imagination.,X272
Do not like art.,X86
Do not like concerts.,X144
Do not like poetry.,X45
Do not like reading or hearing opinions that go against my way of thinking.,T873
Do not like to visit museums.,V186
Do not make lists.,E86
Do not make polite excuses.,E13
Do not often talk about things that I have achieved.,W252
Do not plan ahead.,E104
Do not practice any religion.,V66
"Do not quit easily, even when things are hard.",W318
Do not see the need to acknowledge others who are good to me.,V213
Do not stand up for my beliefs.,V53
Do not take many risks.,W297
Do not take news at face value.,E34
Do not tend to stick with what I decide to do.,V313
Do not think about decisions.,E112
Do not trust the integrity of the police.,T883
Do the opposite of what I'm told to do.,V89
Do the opposite of what is asked.,H497
Do things according to a plan.,H1351
Do things at my own pace.,H171
Do things at the last minute.,H858
Do things behind other people's backs.,H1013
Do things by the book.,H250
Do things for a reason.,Q33
Do things for no apparent reason.,H932
Do things in a half-way manner.,H1413
Do things in a logical order.,H1350
Do things my own way.,H366
Do things out of habit.,H1064
Do things out of revenge.,H710
Do things that are very out of the ordinary.,T896
Do things that I don't like to make others happy.,E160
Do things that I later regret.,E24
Do things that men traditionally do.,P419
Do things that others find strange.,H691
Do things that women traditionally do.,P343
"Do things well at first, but then drop them.",V318
Do things without thinking of the consequences.,Q243
Do too little work.,P385
Do unexpected things.,H893
Do unpleasant tasks immediately.,E109
Do what I say.,H267
Do what others do.,H1049
Do what others want me to do.,H1028
Do whatever comes into my mind.,H573
Do what's expected.,H321
Don't act is if I'm a special person.,V110
Don't act like a show-off.,Q32
Don't always practice what I preach.,P481
Don't analyze the reasons for my actions.,Q30
Don't approach things halfheartedly.,V133
Don't attempt to conform to society's expectations.,D37
Don't bother to make an effort.,H838
Don't bother with polite conversation.,E74
Don't bother worrying about political and social problems.,Q222
Don't brag about my accomplishments.,V145
Don't call attention to myself.,V249
Don't call people just to talk.,E63
Don't care about dressing nicely.,E85
Don't care about rules.,H575
Don't care if I offend others with bad manners.,T992
Don't care much about how society tells me to behave.,T993
Don't care what others think.,E134
Don't care what people think of me.,E60
Don't care whether I'm considered special.,P486
Don't commit myself to things.,H600
Don't consider a task finished until it's perfect.,T918
Don't consider myself attractive.,P471
Don't consider myself religious.,P488
Don't desire things that others have.,Q155
Don't discard old pictures or snapshots,M22
Don't enjoy being in the spotlight.,T921
Don't enjoy being the object of jokes.,P376
Don't enjoy doing quiet leisure activities.,R41
Don't fall for sob-stories.,X185
Don't feel the need to be close to others.,V181
Don't finish the things that I start.,R12
Don't finish what I start.,V49
Don't get excited about things.,H572
Don't get particularly upset when I lose things,M31
Don't get sidetracked when I work.,V261
Don't have a place I call home.,Q70
Don't have a soft side.,E143
Don't have much energy.,V211
Don't have strong feelings about anyone or anything.,V327
Don't hesitate to express an unpopular opinion.,V82
Don't indulge in violence.,Q224
Don't know how to handle myself in a new social situation.,V43
Don't know much about history.,Q82
Don't know what I really want.,A145
Don't know what's going on inside me.,A61
Don't know why I do some of the things I do.,E57
Don't know why I'm angry.,A30
Don't learn from my experiences.,H1400
Don't let an illness or injury change my daily habits.,C10
Don't let little things anger me.,T998
Don't let others cut in front of me in line.,P378
Don't let others discourage me.,H368
Don't let others take credit for my work.,P361
Don't like action movies.,X119
Don't like being away from civilization.,P384
Don't like being interrupted.,Q105
Don't like being laughed at.,Q109
Don't like crowded events.,X99
Don't like getting dirt on my hands.,Q43
Don't like running errands for others.,P465
Don't like seeing people dressed carelessly.,Q72
Don't like sex.,Q212
Don't like the idea of change.,H910
Don't like to be noticed when I walk into a room.,T950
Don't like to draw attention to myself.,X68
Don't like to get dressed up.,E53
Don't like to get involved in other people's problems.,X103
Don't like to learn new things.,V38
Don't like to ponder over things.,H1378
"Don't like to share, even when others desperately need what I have.",T953
Don't like to spend money.,Q240
Don't like to travel.,X264
Don't lose my head.,H384
Don't make a big deal about gifts that I receive.,V152
Don't mind asking for favors.,E27
Don't mind being the center of attention.,X78
Don't mind cutting in line.,T960
Don't mind eating alone.,E72
Don't mind others making fun of me.,P350
Don't miss group meetings or team practices.,V27
Don't pay attention.,H1423
Don't pay enough attention when others are speaking to me.,R66
Don't pay much attention to the material objects other people own,M61
Don't place much emphasis on the amount of material objects people own as a sign of their success,M49
Don't plan anything very far in advance.,A90
Don't pretend to be more than I am.,Q35
Don't pride myself on being original.,V122
Don't put a lot of thought into things.,E179
Don't put my mind on the task at hand.,H854
Don't quit a task before it is finished.,V12
Don't read nonfiction books for fun.,V332
Don't reveal my intentions.,H1109
Don't see much hope for myself.,T1004
Don't see the consequences of things.,H1393
Don't see things through.,H885
Don't show my feelings.,V334
Don't soften the truth.,E103
Don't speak my mind freely when there might be negative results.,V130
Don't strive for elegance in my appearance.,P371
Don't take orders well.,T976
Don't talk a lot.,X56
Don't talk badly to outsiders about my own group.,V167
Don't tend to think things through critically.,V118
Don't think about different possibilities when making decisions.,V25
Don't think about more possibilities than the one I like first.,V168
Don't think as well as I used to.,Q153
Don't think I should have to wait in lines like others.,T980
Don't think it's important to socialize with others.,V299
Don't think much about sex.,Q80
Don't think of tomorrow.,H880
Don't think straight when I am upset.,T1006
Don't think that I'm better than other people.,Q175
Don't think that laws apply to me.,H579
Don't think that schooling is important.,E49
Don't tolerate critics.,H709
Don't try to figure myself out.,P363
Don't try to get even.,V253
Don't understand people who get emotional.,E156
Don't understand things.,H1438
Don't use harsh language.,Q11
Don't usually enjoy listening to people tell stories about events that have happened in their lives.,D76
Don't want to cause trouble.,H1059
Don't waste time with others' troubles.,V128
Don't wear fashionable clothing.,Q100
Don't worry about things that have already happened.,E150
Doubt people who claim to be 'healers.',P344
Doubt reports of so-called 'mystical experiences.',P496
Doubt that most politicians are corrupt.,X134
Doubt the motives of others when I am complimented.,T1012
Doubt the value of religion.,P392
Dread getting up in the morning.,V78
Dress to attract sexual attention.,T1015
Dress to make an impression.,T1016
Drove or rode somewhere without remembering later what happened during all or part of the trip.,B1
Drown out conversations.,H532
Dwell on the past.,E4
Eagerly look forward to things to come.,H36
Easily find things to laugh or joke about.,W139
Easily laugh at myself.,Q213
Easily lose my train of thought.,T1022
Easily lose track of reality.,T1023
Easily resist temptations.,X274
Echo what others say.,H1135
Embarrass others.,H91
Encourage others' criticisms.,H1343
Engage in discussions.,H61
Enjoy a good brawl.,T1031
Enjoy a good ethnic joke among friends.,X257
Enjoy beating the system.,T1034
Enjoy being barefoot.,P446
Enjoy being on the go.,H2015
Enjoy being part of a group.,"H2016, V58"
Enjoy being part of a loud crowd.,E56
Enjoy being reckless.,E35
"Enjoy being thought of as a normal ""mainstream"" person.",D99
Enjoy bringing people together.,X161
Enjoy cartoons.,X229
Enjoy contemplation.,"H1217, X48"
Enjoy crude jokes.,E23
Enjoy discussing movies and books with others.,E47
Enjoy dreaming about a perfect mate.,V99
Enjoy driving fast and passing cars on the highway.,T1043
Enjoy eating in restaurants.,X116
Enjoy elaborate ceremonies.,P345
Enjoy examining myself and my life.,E133
Enjoy feeding animals.,X266
"Enjoy feeling ""close to the earth.""",Q186
Enjoy flirting with complete strangers.,T1045
Enjoy flirting.,V273
Enjoy games of strategy.,E90
Enjoy going to social gatherings.,T1048
Enjoy having control over someone.,A95
Enjoy hearing new ideas.,X166
Enjoy hurting someone physically.,T1052
Enjoy imagining what life is like for people in other places or who have lives different from mine*,W64
Enjoy injuring myself.,T1053
Enjoy intellectual games.,Q160
Enjoy manipulating other people's feelings.,A105
Enjoy my privacy.,E83
Enjoy my work.,H2017
Enjoy myself while with others.,H14
Enjoy offering directions to tourists.,E38
Enjoy physical exercise.,H2018
Enjoy reading.,H2019
Enjoy reflecting on past events.,E139
Enjoy science fiction.,X131
Enjoy sexual experiences intensely.,Q245
Enjoy silence.,E94
Enjoy spending money on things that aren't practical,M40
Enjoy spending time by myself.,X88
Enjoy taking leisurely strolls.,P426
Enjoy taking my clothes off in front of others.,T1064
Enjoy teamwork.,X271
Enjoy the beauty of nature.,"W15, X261"
Enjoy the feel of self-inflicted pain.,T1066
Enjoy the feeling of scalding myself with hot water.,T1067
Enjoy the thrill that comes with fearful situations.,Q9
Enjoy the warm feeling of being in a group of good friends.,T1070
Enjoy thinking about things.,E145
Enjoy thought-provoking movies.,E42
Enjoy torturing people.,T1071
Enjoy using my charm.,V314
Enjoy wild flights of fantasy.,X238
Enjoy working with people more than working alone.,T1075
Enjoyed life.,N17
Enjoyed school.,Q20
Exaggerate my abilities.,H753
Exaggerate things.,H1155
Examine my motives constantly.,P377
Excel in nothing at all.,"H1388, X149"
Excel in what I do.,"H1174, X8"
Exert my authority.,H778
Expect dedicated work from others.,H270
Expect nothing less than perfection.,T1084
Expect others to thank me for generous things that I do for them.,W205
Expect people not to like me.,T1085
Expect the worst to happen.,T1086
Expect the worst.,V36
Expect things to fail.,H645
Experience a lot of physical pain.,Q158
Experience altered states of consciousness.,Q164
Experience deep emotions when I see beautiful things.,V102
Experience longer periods of sadness or depression than other people seem to.,D53
Experience moods that bounce around like a pinball machine.,T1091
Experience my emotions intensely.,X92
Experience pangs of hunger that cause me to devour everything insight.,A110
Experience panic spells.,A23
Experience supernatural guidance.,Q7
Experience very few emotional highs and lows.,X267
Experience very vivid and lively memories when I recall my childhood.,A19
Express childlike joy.,H66
Express disapproval.,H282
Express my affection physically.,H24
Express my happiness in a childlike manner.,A7
Express my thanks to those who care about me.,V26
Express myself easily.,H17
Face danger confidently.,Q126
Face problems directly.,H363
Fail to notice beauty until other comment on it.,V139
Fail to pay attention.,H883
Fear dying from a lingering or painful illness.,C9
Fear for the worst.,H999
Fear nothing.,Q74
Fear that others will hate me.,V97
Feel a profound sense of appreciation every day.,V315
Feel a responsibility to improve the world in which I live.,W46
Feel a sense of not being real.,A136
Feel a sense of worthlessness or hopelessness.,A129
Feel a special sense of destiny or prophecy.,A32
Feel a strong need to hold on to my possessions.,V284
Feel a strong sense of oneness with everything around me.,Q141
"Feel as if my body, or a part of it, has disappeared.",A29
Feel at ease with people.,H1
Feel at times that I have left my body and am somehow outside my physical self.,T1114
Feel attacked by others.,H914
Feel badly if my words or actions cause someone else to feel emotional pain.,A115
Feel better after some hard work.,Q57
Feel comfortable around people.,X112
Feel comfortable with myself.,X129
Feel compelled to count while I am doing things.,R4
Feel completely overwhelmed when things don't go as planned,T1121
Feel controlled by powerful people.,Q110
Feel crushed by setbacks.,H643
Feel desperate.,H947
Feel disgusted by anything relating to sex.,T1124
Feel emotionally damaged,M32
Feel emotions with extreme intensity.,R29
Feel empty in my relationships.,V293
Feel excited or happy for no apparent reason.,R33
Feel excited when I think about the future.,W123
Feel good when others notice how I have hurt myself.,T1129
"Feel guilty as if I had committed a crime, although I did not really commit one.",A65
Feel guilty much of the time.,T1131
Feel guilty when I believe that I have hurt someone's feelings.,D10
"Feel guilty when I say ""no.""",E168
Feel guilty when I see a policeman.,E18
Feel happy when I see a happy animal such as a playful dog or a purring cat.,D56
Feel happy when I see other people display their skills and talents.,W11
"Feel happy when I see other people doing things like showing compassion, forgiving others, or being kind.",W12
Feel healthy and vibrant most of the time.,C8
"Feel hollow, empty, or bored.",V125
Feel I get so engrossed in fantasies that I lose track of reality.,T1136
Feel I have no control over my thoughts.,T1137
Feel I must respect the decisions made by my group.,V306
Feel isolated from other people.,V199
Feel it is important to keep up appearances.,QQ15
Feel it's important to live in a world of beauty.,V52
Feel life is boring or bland.,T1142
Feel like a failure when someone else succeeds.,Q101
Feel like a loser if I compromise.,V77
Feel like a young person.,Q127
Feel like an imposter.,V238
"Feel like I am ""falling apart"".",A117
Feel like I have no control over what comes out of my mouth.,T1146
Feel like I wouldn't know what to do if I developed a serious illness.,C20
Feel like my imagination can run wild.,T1149
Feel like nothing seems interesting to me.,T1150
Feel like nothing seems like fun to me.,T1151
Feel like people often are out to get something from me.,T1152
Feel little concern for others.,X244
Feel lucky most of the time.,H2020
Feel my thoughts and emotions are often 'all over the place.',T1156
Feel no gratitude to others.,Q58
Feel nothing is ever my fault.,T1158
Feel offended by forms of discrimination.,P463
Feel older than my age.,Q208
Feel other people's joy.,A63
Feel others' emotions.,E136
Feel paralyzed for awhile.,A81
Feel relaxed when enclosed in small places such as an elevator.,D24
Feel relieved after inflicting pain on myself.,T1162
Feel resentful when I don't get my own way.,V264
Feel restless a lot of the time.,R54
Feel short-changed in life.,H617
Feel smothered when others show deep concern towards me.,A74
Feel sometimes that a part of my body is separate from the rest of me.,T1167
Feel sometimes that I all-of-a-sudden am in a strange place.,T1168
Feel spiritually connected to other people.,P365
Feel sympathy for those who are worse off than myself.,E115
Feel thankful for what I have received in life.,V245
Feel that a deadly disease is always around the corner.,T1172
Feel that breaking the law is okay as long as you don't get caught.,T1173
Feel that burning myself makes me feel better.,T1174
Feel that cutting myself helps me feel better.,T1175
Feel that fantasy is more powerful than reality.,Q131
Feel that friendly people are actually trying to manipulate me.,Q168
Feel that having close friends is not especially important to me.,D42
Feel that I am too fat.,Q13
Feel that I am too short.,Q47
Feel that I am too skinny.,Q172
Feel that I am too small.,Q118
Feel that I am too tall.,Q84
Feel that I am treated well by others.,Q88
Feel that I do not deserve to be alive.,T1187
Feel that I have a lot of inner strength.,Q191
Feel that I have done something wrong.,Q137
Feel that I have to repeat certain numbers.,R34
Feel that I know what people should be like.,H281
Feel that I shouldn't have to wait for anything.,T1191
"Feel that I'm living in a dream, or see my life before me as if it were a movie.",A103
Feel that I'm someone special.,A107
Feel that I'm unable to deal with things.,H954
Feel that it's OK that some people don't like me.,P354
Feel that life has no meaning.,Q215
Feel that life is full of many wonderful surprises.,W112
Feel that many things are outside my control.,Q237
Feel that most bad things that happen have a hidden gift in them.,W110
Feel that most people are genuine.,T1199
Feel that most people can't be trusted.,Q189
Feel that my anxiety overwhelms me.,T1155
Feel that my body is dissolving or that a part of my body is missing or changing.,A114
Feel that my body is too large.,Q214
Feel that my interests change quickly.,E59
Feel that my life lacks direction.,X205
Feel that my life would be better if I owned certain things I don't have,M46
Feel that my opinion is worthless unless told otherwise,T1205
Feel that my worry and anxiety is out of control.,T1206
Feel that no one tells the truth anymore.,T1207
Feel that nothing seems to make me feel good.,T1208
Feel that other people are often to blame for my problems.,Q171
Feel that other people are out to get me.,A78
Feel that others are beneath me.,T1211
Feel that others are out to get me.,T1212
Feel that others can't figure out what I'm trying to say.,V190
Feel that others misunderstand me.,Q40
Feel that pain actually makes me feel better.,T1215
Feel that people and things around me are not real.,A98
Feel that people are against me.,Q143
Feel that people are too dependent on me.,E8
Feel that people have a hard time understanding me.,E159
Feel that people must earn my trust.,E148
Feel that people or things change in their appearance when they really do not.,A85
Feel that practice is as important as performance.,V310
Feel that the pace of life is too fast.,P391
Feel that the slightest problems are the 'end of the world.',T1222
Feel that the things I own aren't all that important to me,M64
Feel that there are good and bad numbers.,R19
Feel that there are many things that I do not know much about.*,W251
Feel that too much modesty gets a person in trouble.,V290
Feel that very few merchants take advantage of their customers.,X187
Feel that work is not an important part of my life.,X159
Feel that yelling helps me feel better.,E70
Feel threatened easily.,H612
Feel unbearable guilt much the time.,T1228
Feel uncomfortable when told that I am important.,P423
Feel uneasy and concerned whenever I see a distressed look on a child's face.,D67
Feel up to any task.,H1116
Feel used by other people.,Q96
Feel weak.,C6
Felt as though I was looking at the world through a fog so that people and objects appeared far away or unclear.,B28
Felt close to my parents when I was a child.,Q91
Felt depressed.,N08
Felt fearful.,N21
Felt happy.,N14
Felt hopeful about the future.,N10
Felt I was as good as other people.,N05
Felt like I was disconnected from my body.,B30
Felt like I was dreaming when I was awake.,B29
Felt lonely.,N16
Felt sad.,N19
Felt that everything I did was an effort.,N09
Felt that I could not move my hands or feet.,B31
"Felt that I could not shake off the blues, even with help from my family or friends.",N04
Felt that people disliked me.,N22
Find examination of my feelings useful in solving personal problems.,A83
Find fault with everything.,H1067
Find few things in my life to be grateful for.,V248
Find it bothersome that I can't afford to buy all the things I like,M79
Find it difficult showing people that I care about them.,A4
Find it difficult showing people that I'm angry with them.,A12
Find it difficult to approach others.,H592
Find it difficult to break my bad habits.,P389
Find it difficult to compromise in policy debates.,T1242
Find it difficult to consider as valid opinions that differ from my own.,T1243
Find it difficult to control my own thoughts.,R70
Find it difficult to entertain myself.,V254
Find it difficult to get down to work.,H1171
Find it difficult to manipulate others.,P461
Find it difficult to organize tasks and activities.,R65
Find it difficult to sit still for long periods of time.,R67
Find it difficult to stay on one course.,H506
Find it difficult to telephone someone I do not know,S5
"Find it difficult to tell whether something really happened, or whether it occurred only in my imagination.",A123
Find it difficult to touch an object that has been touched by others.,R46
Find it easy to manipulate others.,P407
Find it easy to spend a lot of time learning something new.*,W234
Find it easy to stay healthy.,Q28
Find it easy to tell if others are interested or bored with what I'm saying,M78
Find it easy to tune out background noises when trying to concentrate on something else.,D95
Find it hard to describe how I feel about people.,A125
Find it hard to forgive others.,X210
Find it hard to know what people are really feeling,M66
Find it hard to stay in a bad mood if the people around me are happy.,A76
Find it hard to tell if people are lying,M60
Find it hard to tell others' thoughts by their looks,M36
Find it necessary to please the people who have power.,Q49
Find it very annoying to have to wait a few minutes for a phone connection.,D49
Find life difficult.,Q81
Find my attention easily strays from my work in the presence of an attractive stranger,S17
"Find myself in the same kinds of trouble, time after time.",A64
Find myself picking up the mood of others.,V197
Find nothing excites me.,T1264
Find others' opinions unimportant.,H777
Find out things quickly.,H1314
Find political discussions interesting.,X174
Find some pleasure in hurting myself physically.,T1266
Find that I am able to pursue one goal for a long time.,A100
Find that I do not get frightened easily.,T1268
"Find that I sometimes sit starting off into space, thinking of nothing, and am not aware of the passage of time.",B20
Find that in certain situations I am able to do things with amazing ease and spontaneity that would usually be difficult for me.,B23
Find that in one situation I act so differently from when I'm inanother situation that I feel almost as if I were two different people.,B22
Find that it doesn't take much to make me feel happy.,D14
Find that it takes a lot to make me feel angry at someone.,D68
Find that it takes a lot to make me feel frustrated or irritated.,D111
Find that it's hard for me to have fun.,T1272
Find that my friends get surprised to discover things that I have achieved in the past.*,W248
Find that my impulses often get me into trouble.,T1273
Find that my thoughts are racing.,R21
"Find that once I have a new friend, I sometimes try too hard to keep them.",T1274
Find that people tell me their feelings.,W30
Find the world a very interesting place.,V1
Finish tasks quickly.,H251
Finish things despite obstacles in the way.,V126
Finish what I start.,H254
Follow a schedule.,X179
Follow directions.,H319
Follow my instincts.,H1371
Follow my own rules.,"H1364, V302"
Follow orders.,H315
Follow others.,H967
Follow the beaten track.,H1383
Follow the crowd.,H1071
Follow the rules.,V113
Follow through on my commitments.,X146
Follow through with my plans.,X196
Forego things that are bad for me in the long run even if they make me feel good in the short run.,V170
Forget appointments.,H835
Forget deadlines.,V79
Forget things.,R2
Forgo opportunities.,H630
Forgo things for the sake of others.,H155
Form opinions based on others' beliefs.,E95
Formulate ideas clearly.,H1219
Found evidence that I had done things that I did not remember doing.,B25
Found myself dressed in clothes I didn't remember putting on.,B4
Found myself in a place and had no idea how I had gotten there.,B3
Found new things among my belongings that I didn't remember buying.,B5
Found that I became so involved in a fantasy or daydream that it felt like it was really happening to me.,B18
Found that I could not remember whether I had done something or had just thought about doing that thing.,B24
"Found that I had no memory for some important event in my life (for example, a wedding or graduation).",B9
Found that I heard voices inside my head that told me to do things or commented on things that I was doing.,B27
Found that I was able to ignore pain.,B19
Found that when I was watching television or a movie I became so absorbed in the story that I was unaware of other events happening around me.,B17
"Found writings, drawings, or notes among my belongings that I must have done but cannot remember doing.",B26
Frequently back out of plans.,T1299
Frequently drop things.,H1404
Frequently forget to do things.,X194
Frequently forget what I am doing.,T1301
Frequently get so strongly absorbed in one thing that I lose sight of other things,M08
Frequently get things mixed up in my head.,T1303
Frequently have thoughts about killing myself.,T1304
Frequently question the intentions of others.,T1306
Frequently skipped school when I was younger.,T1307
Frequently take the blame for others' mistakes.,T1308
Frequently visit medical websites to diagnose myself.,T1309
Fulfill my duties without complaining.,H311
Generally am not interested in doing very much.,T1311
Generally doubt the integrity of others.,T1312
Generally feel like there isn't anything interesting or fun to do.,T1313
Generally focus on the negative side of things.,T1315
Generally give preference to those activities that imply an immediate gain,S12
Generally lack the energy to get things done.,T1318
Generally trust my partners to be faithful to me.,T1319
Get a head start on others.,H332
Get a kick out of really scaring people.,T1322
Get a lot of pleasure from buying things,M67
Get a rush from other people lusting after me.,T1323
Get a thrill out of doing things that might kill me.,T1324
Get a thrill out of ripping off others.,V178
Get along well with others.,H31
Get along well with people I have just met.,V191
Get angry easily.,"H754, X18"
Get angry more easily than most people.,T1329
Get angry when my friends goes out without me.,T1330
Get annoyed at the slightest provocation.,H1118
Get annoyed by people who are overly friendly.,X232
Get annoyed when poor weather interferes with my plans for an outdoor activity.,D90
Get annoyed with others' behaviors.,H913
Get as excited about the good fortunes of others as I am about my own.,V233
Get back at others.,H699
Get back at people who insult me.,Q154
Get bored easily.,H1188
Get caught up in my problems.,X120
Get caught up in the excitement when others are celebrating.,A71
Get chills when I hear about acts of great generosity.,V63
Get chores done right away.,E119
Get confused easily.,H855
Get deeply immersed in music.,Q51
Get easily agitated.,Q77
Get even with others.,H711
Get excited about the things that I am doing.,W379
Get excited by new ideas.,H5
Get excited when I learn new things.,W233
Get fed up easily.,H859
Get furious.,H759
Get impatient when others talk to me about their problems.,V6
Get in shouting matches with other people.,A120
Get in trouble with the law.,A89
Get into moods where I feel very speeded up and irritable.,R8
Get into my work.,H364
Get irritated easily.,H761
Get jealous easily.,T1357
Get lost in my dreams.,X223
Get lost in what I'm doing and don't pay attention to much else.,V320
Get nauseous when I see or think of spoiled food.,A20
Get others to do my duties.,H1084
Get out of control.,H925
Get overwhelmed by emotions.,H950
Get physically ill when things aren't going well for me.,Q229
Get pretty sweaty in new situations.,T1367
Get puzzled by my own thoughts and feelings.,V260
Get restless when I spend too much time at home.,R61
Get sick more often than my friends.,C17
